data name: WN18RR
model name: MRAN
learning rate: 0.001
entity dimension: 400
relation dimension: 400
batch size: 128
decay rate: 1.0
label smoothing: 0.1
convolution parameters: {'input_dropout': 0.4, 'hidden_dropout': 0.4, 'feature_map_dropout': 0.3, 'in_channels': 1, 'out_channels': 48, 'filt_height': 2, 'filt_width': 7}

Epoch	MR	MRR	Hits1	Hits3	Hits10	Best_MR	Best_MRR	Best_Hits1	Best_Hits3	Best_Hits10
470	5214.7	0.467	0.435	0.480	0.528	5169.5	0.470	0.439	0.484	0.530
475	5320.0	0.469	0.437	0.483	0.527	5169.5	0.470	0.439	0.484	0.530
480	5245.7	0.470	0.439	0.482	0.528	5169.5	0.470	0.439	0.484	0.530
485	5309.3	0.469	0.437	0.484	0.529	5169.5	0.470	0.439	0.484	0.530
490	5186.8	0.470	0.438	0.485	0.531	5169.5	0.470	0.439	0.485	0.531
495	5396.1	0.469	0.438	0.482	0.530	5169.5	0.470	0.439	0.485	0.531
500	5251.8	0.469	0.438	0.482	0.530	5169.5	0.470	0.439	0.485	0.531
505	5237.9	0.469	0.437	0.483	0.529	5169.5	0.470	0.439	0.485	0.531
510	5340.0	0.468	0.435	0.480	0.530	5169.5	0.470	0.439	0.485	0.531
515	5267.4	0.471	0.438	0.484	0.530	5169.5	0.471	0.439	0.485	0.531
520	5410.0	0.469	0.438	0.483	0.531	5169.5	0.471	0.439	0.485	0.531
525	5167.2	0.471	0.439	0.485	0.532	5167.2	0.471	0.439	0.485	0.532
530	5330.9	0.469	0.438	0.483	0.529	5167.2	0.471	0.439	0.485	0.532
535	5211.1	0.469	0.436	0.485	0.531	5167.2	0.471	0.439	0.485	0.532
540	5199.1	0.471	0.439	0.485	0.531	5167.2	0.471	0.439	0.485	0.532
545	5114.1	0.471	0.439	0.483	0.531	5114.1	0.471	0.439	0.485	0.532
550	5216.8	0.471	0.440	0.484	0.533	5114.1	0.471	0.440	0.485	0.533
555	5207.3	0.472	0.440	0.485	0.531	5114.1	0.472	0.440	0.485	0.533
560	5217.9	0.472	0.440	0.483	0.531	5114.1	0.472	0.440	0.485	0.533
565	5240.6	0.470	0.438	0.483	0.531	5114.1	0.472	0.440	0.485	0.533
570	5246.4	0.474	0.443	0.487	0.533	5114.1	0.474	0.443	0.487	0.533
575	5238.7	0.472	0.439	0.485	0.531	5114.1	0.474	0.443	0.487	0.533
580	5168.8	0.472	0.440	0.486	0.529	5114.1	0.474	0.443	0.487	0.533
585	5194.7	0.472	0.439	0.486	0.531	5114.1	0.474	0.443	0.487	0.533
590	5280.9	0.473	0.441	0.485	0.534	5114.1	0.474	0.443	0.487	0.534
595	5155.0	0.473	0.441	0.485	0.533	5114.1	0.474	0.443	0.487	0.534
600	5214.0	0.471	0.438	0.485	0.532	5114.1	0.474	0.443	0.487	0.534
605	5331.6	0.473	0.441	0.487	0.534	5114.1	0.474	0.443	0.487	0.534
610	5199.9	0.470	0.439	0.482	0.531	5114.1	0.474	0.443	0.487	0.534
615	5178.4	0.471	0.439	0.484	0.535	5114.1	0.474	0.443	0.487	0.535
620	5208.1	0.471	0.439	0.486	0.533	5114.1	0.474	0.443	0.487	0.535
625	5284.7	0.472	0.440	0.485	0.533	5114.1	0.474	0.443	0.487	0.535
630	5179.4	0.471	0.437	0.485	0.533	5114.1	0.474	0.443	0.487	0.535
635	5122.2	0.472	0.440	0.486	0.532	5114.1	0.474	0.443	0.487	0.535
640	5261.8	0.471	0.438	0.487	0.533	5114.1	0.474	0.443	0.487	0.535
645	5299.2	0.471	0.439	0.485	0.531	5114.1	0.474	0.443	0.487	0.535
650	5270.8	0.474	0.443	0.489	0.534	5114.1	0.474	0.443	0.489	0.535
655	5185.8	0.471	0.437	0.486	0.531	5114.1	0.474	0.443	0.489	0.535
660	5171.3	0.474	0.442	0.487	0.534	5114.1	0.474	0.443	0.489	0.535
665	5240.7	0.472	0.440	0.485	0.533	5114.1	0.474	0.443	0.489	0.535
670	5183.7	0.471	0.439	0.484	0.530	5114.1	0.474	0.443	0.489	0.535
675	5227.7	0.471	0.438	0.489	0.533	5114.1	0.474	0.443	0.489	0.535
680	5274.4	0.472	0.439	0.486	0.532	5114.1	0.474	0.443	0.489	0.535
685	5148.4	0.472	0.440	0.485	0.533	5114.1	0.474	0.443	0.489	0.535
690	5214.7	0.474	0.442	0.488	0.533	5114.1	0.474	0.443	0.489	0.535
695	5223.2	0.471	0.438	0.486	0.534	5114.1	0.474	0.443	0.489	0.535
700	5231.6	0.474	0.442	0.489	0.534	5114.1	0.474	0.443	0.489	0.535
705	5242.7	0.474	0.442	0.487	0.534	5114.1	0.474	0.443	0.489	0.535
710	5159.3	0.473	0.440	0.486	0.537	5114.1	0.474	0.443	0.489	0.537
715	5131.0	0.473	0.439	0.487	0.534	5114.1	0.474	0.443	0.489	0.537
720	5351.9	0.472	0.439	0.488	0.536	5114.1	0.474	0.443	0.489	0.537
725	5155.2	0.476	0.443	0.489	0.537	5114.1	0.476	0.443	0.489	0.537
730	5152.5	0.475	0.442	0.489	0.534	5114.1	0.476	0.443	0.489	0.537
735	5105.4	0.473	0.441	0.487	0.536	5105.4	0.476	0.443	0.489	0.537
740	5218.1	0.474	0.441	0.489	0.537	5105.4	0.476	0.443	0.489	0.537
745	5303.0	0.473	0.441	0.488	0.535	5105.4	0.476	0.443	0.489	0.537
750	5232.1	0.474	0.441	0.488	0.534	5105.4	0.476	0.443	0.489	0.537
755	5181.1	0.472	0.440	0.487	0.535	5105.4	0.476	0.443	0.489	0.537
760	5256.8	0.474	0.442	0.486	0.536	5105.4	0.476	0.443	0.489	0.537
765	5144.4	0.476	0.444	0.489	0.537	5105.4	0.476	0.444	0.489	0.537
770	5257.1	0.475	0.443	0.490	0.537	5105.4	0.476	0.444	0.490	0.537
775	5216.9	0.474	0.442	0.488	0.536	5105.4	0.476	0.444	0.490	0.537
780	5279.4	0.474	0.442	0.489	0.538	5105.4	0.476	0.444	0.490	0.538
